taxi_zone,P(mode1),P(mode2),P(mode3),P(mode4),P(mode5)
3.0,0.5260743533333629,81.31850338767194,33.425462563517776,7948.271383788625,915.4585759068517
4.0,32.88845007123318,108.13495494402751,64.93861549366447,7212.769464489176,3373.268515001899
5.0,0.24577692249218305,39.74212836698601,6.404244380367742,8270.173881144534,114.43396918561996
6.0,0.45322174153127454,31.75330561548232,7.80895851213081,4919.798683701122,480.18583042973285
7.0,27.45730711046215,153.42548875898842,40.43163187882645,34826.94079764998,2987.74477460174
9.0,0.051277325166270045,8.292491463548604,2.3458299008838166,6118.01365001365,397.29675129675127
10.0,8.828094807668286,113.55534451789781,48.23365587943737,10257.5510771369,647.8318276580959
11.0,0.145093940310111,15.294624646674057,6.837204489938908,9371.901538461538,741.8215384615386
13.0,75.02392639242183,56.219916321826844,15.63575552806143,4018.2061519146264,2262.9142498430633
14.0,0.9681399499952752,97.69758124209963,25.75675035524548,27536.657518766646,4790.920009686011
15.0,0.35899975570455195,36.99364968960976,5.759690069664286,6596.187945791726,471.6997146932953
16.0,0.5730624480821378,74.43307398064118,19.992141412838105,12729.76923076923,1259.2324913892078
17.0,0.5845289722161546,45.96354071973141,22.428329141253183,22244.283567577124,5066.7400335896755
18.0,0.3249406986295723,68.72922207378485,27.060481435217056,13891.769909476337,1989.1154463160306
19.0,0.8630833422274741,44.820086094991346,10.53213877195442,6972.946830265849,667.8378615249782
20.0,0.19422771391266946,59.57330101839619,22.784213967193246,5417.206432512448,1981.24182478805
21.0,0.5562415616709049,56.08310459341614,29.30538029725362,19539.985899605188,2429.0693739424705
22.0,1.1266746884869294,117.04089557723209,60.09340840429352,26799.667503136763,3717.0715181932246
23.0,0.021008540915634876,13.019873808747652,3.0977432427537748,12711.857424960504,893.0039494470775
24.0,40.002568578439565,25.786373968956703,15.180721295183668,5929.100027329871,1043.9303088275485
25.0,2.854162497842043,22.56571704023792,4.02099412688684,9358.137015298758,1163.4221110362744
26.0,1.5218306609948817,97.31440635338734,40.53869798301766,15805.838533541342,11780.786531461257
27.0,0.0,0.0,0.0,1032.2028985507245,159.79710144927537
28.0,2.4635289253546575,73.80483764990412,20.071538357336877,12411.791085482739,1228.8690095846646
29.0,0.7942217116796304,78.25638374321692,36.334482166489764,9066.156379060163,2433.458533318451
30.0,0.0,0.0,0.0,803.7265917602997,31.273408239700377
31.0,0.0990853219539523,18.544846247589238,7.121056440049137,264.47002398081537,25.76498800959233
32.0,0.9548940902136802,100.29626647111982,39.05036247703166,9057.128976286871,1426.5695006747637
33.0,27.137014249424492,120.14454203519638,17.25014702712076,9549.904570750843,1349.5637259374143
34.0,0.0,0.0,0.0,343.05109489051097,29.94890510948905
35.0,1.024555502102032,70.64975274362612,57.70996980113663,18150.39245974604,1687.223262207095
36.0,0.7047360210152557,120.91421632697809,47.667437991432244,18270.169875979114,2412.543733681462
37.0,1.013417603114963,98.3842658100831,44.68056622594197,25652.379700676138,2509.5420496847223
38.0,0.15982786265182775,8.459819447030076,3.7295680968801506,7008.1797432239655,193.47104136947218
39.0,2.1536012324015212,175.4102916717637,152.932475339078,30798.651055743245,1753.8525760135135
40.0,14.062671444840731,55.44190419530079,7.382150238919185,6588.460153303321,857.6531208176177
41.0,37.58909691461378,64.54533302215182,28.431777180900323,18139.070856043603,1758.3629368387305
42.0,50.71441475601256,233.4833808786312,106.86157148941112,26811.072948753852,3321.867684122095
44.0,0.0,0.0,0.0,7690.32663316583,184.67336683417085
45.0,19.300173874754936,37.153592494073855,13.121562245933603,3885.2851365015167,2926.139534883721
46.0,0.0,0.0,0.0,862.810975609756,538.189024390244
47.0,0.5321981125824027,62.76880309909317,33.101478906938794,8698.369726378218,870.2277935031675
