,Taxi,FHV,FHV_shared,private
no fee total_distance,19179.147371445426,32914.10050800779,9980.422681345233,6991689.692185457
$2.75 total_distance,12351.340307285434,31513.59844965218,13690.577037219859,6995434.145532792
$10 total_distance,8173.555488570626,31374.354267061583,16933.203767608207,6454552.271533611
distance change from no fee to $2.75,-6827.807064159992,-1400.502058355607,3710.1543558746253,3744.4533473355696
distance change from  2.75 to 10,-4177.784818714808,-139.24418259059894,3242.6267303883487,-540881.8739991812
distance change from no fee to $10,-11005.5918828748,-1539.746240946206,6952.781086262974,-537137.4206518456
